champ_name,ability
TahmKench,"Devours his target, storing them in his belly and dealing 900/1350/30000 {} magic damage over 3 seconds. During this time, the target is invulnerable to other sources of damage and he gains 30% damage reduction. If they die while inside, he either spits out a random item component they were holding, or the cost of the unit in gold. Otherwise, he spits them towards the farthest enemy, briefly TFT stun/stunning targets they impact. If the target is immune to crowd control, they take 50% damage instead."
Malzahar,"Infects the mind of the closest unafflicted target, dealing 650/900/1100 {} magic damage over 8 seconds and reduces their magic resistance by 40% for the duration. If an afflicted target dies, this ability spreads to the nearest 1/1/2 unafflicted targets with the remaining duration."
Zyra,"Summons vines in the row with the most enemies, dealing 275/375/575 {} magic damage and TFT stun/stunning them for 1.5/2/2.5 seconds."
Viktor,"Summons 3/4/12 singularities to fire death rays that cut across the battlefield in a line and melt enemy defenses. To enemies caught in its path, death rays deal 360/420/1500 {} magic damage and destroys 40/50/200% of any remaining shields."
Seraphine,Projects her song towards the largest group of units. The song deals 250/400/1200 {} magic damage to enemies. Allies it passes through are healed 250/350/1000 {} and gain 30/45/100% '''bonus''' attack speed for 4 seconds.
Zilean,"Places a bomb on the closest enemy, TFT stun/stunning them for 1.5 seconds. When the stun ends, or the target dies, the bomb explodes dealing 250/400/777 {} magic damage to adjacent enemies and reducing their attack speed by 30/40/50% for 4 seconds."
Irelia,"Dash/Dashes to her target, striking them for 75/100/550 {} (+ 190% AD) physical damage. If she kills the target, she Bladesurges again to the enemy with the lowest health."
Silco,"Injects an unstable concoction into 1/1/5 of his lowest health allies, granting them 50% '''maximum''' health, 50/125/666% '''bonus''' attack speed, and immunity to crowd control for 6/7/10 seconds. When the concoction wears off, unstable units die by explosion, dealing 350/600/5000 {} magic damage to nearby enemies. The explosion radius is doubled at 3-Star."
Renata,"Unleashes a toxic poison wave towards the largest group of nearby enemies within 6 hexes, poisoning all enemies caught in its path for 15 seconds. Poisoned enemies suffer 20% reduced attack speed and take 50/75/250 {} magic damage per second. Damage dealt by the poison can stack."
Quinn,"Sends Valor out at the target with the highest attack speed, dealing 200/300/650 {} magic damage to the target and nearby enemies. Enemies hit are also TFT disarm/disarmed for 1.5/2/2.5 seconds."
Leona,"Calls down a beacon of light upon herself, granting herself a 400/650/1000 {} shield for 5/5/8 seconds. All allies within 2 hexes gain 30/50/80 '''bonus''' armor and '''bonus''' magic resistance for the same duration.<br />VIP Bonus: Heal {} every second for each unit targeting her."
Ekko,"Invokes an afterimage that bats a device towards the largest group of units. Upon landing, it deals 125/200/400 {} magic damage to enemies within and reduces their attack speed by 20/20/30% for 4 seconds. Allies inside gain 30/40/50% {} '''bonus''' attack speed/attack speed for 4 seconds."
Orianna,"Sends out her ball towards the largest group of champions, then commands it to release a shockwave. Allies within 2 hexes gain a 125/200/700 {} shield for 4 seconds, while enemies within the area are briefly TFT airborne/knocked up and dealt 300/425/1500 {} magic damage. Enemies adjacent to the ball are drawn in and TFT stun/stunned for 1/1/4 seconds."
Lulu,"Enlarges 1/2/3 low health allies, granting them 350/370/390 {} '''bonus''' health and TFT airborne/knocking up enemies near them. If the ally is already enlarged, they are healed instead."
